"ID","Name","Active users","Contacts","Number of appointments booked","Total Emails","Inbound Emails","Outbound Emails","Total Text messages","Inbound Text messages","Outbound Text messages","Total Calls","Inbound Calls","Outbound Calls","Inbound Call Duration (hours)","Outbound Call Duration (hours)","Form Submissions","Survey Submissions","Facebook Lead Form Submissions","GBP Messages","Inbound GBP Messages","Outbound GBP Messages","Total Instagram Messages","Inbound Instagram Messages","Outbound Instagram Messages","Total Facebook Messages","Inbound Facebook Messages","Outbound Facebook Messages","Reviews","Google Reviews","Facebook Reviews","Positive reviews","Negative reviews","Sites Created - Funnels","Sites Created - Websites","Sites Created - Forms","Sites Created - Surveys"
"5sqzWok0F5W8GwHV78JT","""Lee Johnson Mazda of Seattle""",7,185,22,922,44,878,2292,536,1756,4,4,0,"0.05","0.00",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eMp49PVg6pHqaGqKuGWA","""Legacy Chevrolet GMC""",6,28,3,87,1,86,494,153,341,4,4,0,"0.09","0.00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ka6EuIsrGY124lBlSgcN","""Legacy Ford""",4,46,4,192,7,185,872,291,581,5,5,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zNaBr6bUFKQIN9mU3fFx","""Legacy Nissan""",5,59,9,258,11,247,813,256,557,4,3,1,"0.00","0.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rvKwBDyNWSOKkoUISP53","""Lehmers GMC""",5,198,31,551,29,522,2631,732,1899,11,8,3,"0.11","0.00",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"561M3vLl3hBNOL3J5Hfh","""Lexington Park Chevrolet Buick GMC""",3,108,14,553,24,529,1823,552,1271,3,3,0,"0.08","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4WllevG1QPlEIvSAxN7y","""Liberty Chrysler Dodge Jeep Ram""",4,134,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zAWeHTmXNN8OdUCqic5C","""Liberty GMC""",0,0,0,2,0,2,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pxIQjG1GJeuAQBcxIYRo","""Lifestyles Honda""",4,26,5,91,5,86,533,183,350,2,2,0,"0.18","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"niWm5TnHGGmVo7wuPuey","""Lock 20 Auto""",1,73,17,100,3,97,1436,469,967,10,3,7,"0.00","0.34",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DujwzKo4liPfJiSCY754","""Lone Star Harley-Davidson""",5,187,9,674,11,663,1660,408,1252,6,6,0,"0.04","0.00",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3XQp7kw5eca06AtjrNnY","""Lorem ipsum dolor""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"h8SpNzLwY8Kzzcm4iI7C","""Lorem ipsum dolor""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"icCrv3DTreiXuGPQFlUn","""LSM Cars""",1,276,22,1085,23,1062,3509,871,2638,1678,25,1653,"0.99","6.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oMfGO58vlQpMBXLQpXPG","""Mac Haik Ford Jackson""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l3JGldbvK4DJRpU4PoUz","""Marano & Sons Auto Sales, Inc.""",2,30,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nUHXph3hkRryiRcnRjUh","""Mark Christopher Auto Center""",0,0,0,5,0,5,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NESFmK8PI9hScgtu0STn","""McClinton Autogroup""",8,146,14,446,11,435,2046,524,1522,0,0,0,"0.00","0.00",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MKcpnxzW2z74eA4MGwQJ","""Mckay Chevrolet""",5,256,26,833,29,804,3174,881,2293,9,8,1,"0.03","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jBoqILK0PSKGjPQjT78H","""McSweeney Automotive Group Clanton""",12,173,5,229,2,227,652,146,506,1,1,0,"0.04","0.00",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8T8PsbxAt4IC6ELetoY2","""Metro Ford Sales""",1,87,13,364,4,360,2107,255,1852,69,14,55,"0.33","0.60",0,0,0,0,0,0,8,6,2,16,9,7,0,0,0,0,0,0,0,0,0
"CzuOxg2X9vPHnZyiUMng","""Midway Dodge, Incorporated II""",10,567,46,1973,43,1930,7895,1769,6126,467,71,396,"0.54","2.94",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3qdmaZZNNyRlobct9vPe","""Mike Castrucci Ford Sales""",12,415,47,1508,78,1430,6111,1798,4313,20,19,1,"0.10","0.00",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cXhBPyd326G1Ew3ggxzF","""Million Mile Motors""",1,294,31,1036,4,1032,4288,1040,3248,23,22,1,"0.10","0.00",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBKegLzq9XRkEIlpkazP","""Mills Motors Buick GMC""",12,37,10,135,5,130,689,221,468,1,1,0,"0.00","0.00",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TgyEiKxeTJVBgdNsmvFx","""Mississauga Kia""",10,149,20,673,31,642,2946,753,2193,3,2,1,"0.00","0.00",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FmVmTq1p06bsKqsVbCIh","""Monster Motors""",0,410,0,0,0,0,3,3,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OxPX9rPDuI4hKyTjDXXS","""Monster Motors Knoxville""",0,1,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROWLZzcNwErFPeR3SCv3","""Motorhub""",7,298,65,1232,56,1176,5108,1129,3979,110,27,83,"0.50","1.73",0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0
"s4exMNEltY4ml4AjW22o","""NEW TEMPLATE ACCOUNT""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4AnifwQzy4VvpEMtJGel","""Newcombs Auto Sales""",4,97,10,270,8,262,1304,395,909,8,8,0,"0.01","0.00",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3p6KybVDG9jNodz8uGFl","""Newcombs North""",4,79,6,258,0,258,895,250,645,2,2,0,"0.08","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MF8SbIhSzR9IJLo94DUw","""Nissan of San Bernardino""",0,3,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
"vtoNpom4ioD9vtKIETSq","""Nissan Of Yorktown Heights""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4mir0vpAMw5upcKH7vdt","""Normandin Chrysler Jeep Dodge Ram Fiat""",13,362,22,1185,27,1158,4297,1100,3197,16,15,1,"0.07","0.04",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX3vmpXwGutmONWVnPiH","""North Bay Chrysler""",7,70,5,278,10,268,1006,223,783,0,0,0,"0.00","0.00",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"y4yLPQ7ENobC2zhY9NkF","""Number 7 Honda""",10,83,18,340,20,320,1441,385,1056,4,4,0,"0.15","0.00",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cGEKsljCnuIqwcWpFD7a","""Oakley Auto World""",9,127,20,698,32,666,3420,950,2470,307,49,258,"0.78","4.95",56,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0
"Wxh2KdjHalqy3OzRJ07l","""Oakville Chrysler""",0,48,0,0,0,0,10,10,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s2ZEwvkuvHsFJjhI4oez","""Octane GMC""",7,111,11,293,12,281,1240,337,903,5,5,0,"0.08","0.00",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mnl5o68v3UTsfKl2NZ3Y","""Outerlimit Powersports""",4,20,0,106,2,104,277,55,222,3,3,0,"0.00","0.00",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"beGUso4Gxqul2olAkkzF","""Overstock Vehicles """,13,350,35,2304,52,2252,6890,1729,5161,103,16,87,"0.23","0.53",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rpT1XXrNxx8XVHV1F4fh","""Paris Harley-Davidson""",2,16,1,171,7,164,448,59,389,1,1,0,"0.00","0.00",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"t2KCB1UXqx5f2vy8p1Ie","""Pembroke Chrysler Dodge Jeep RAM""",9,64,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dS3cUcfvRDG397LjPHAw","""PEMBROKE HONDA""",0,5,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2
"iYxsPb0badJ1md291ffY","""Pembroke Nissan""",0,5,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2
"RCIG5vFJaHaRzQRLV2DP","""Peterson's Harley-Davidson South""",2,0,0,32,0,32,148,20,128,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"owny38a3rpQIBKD03sDA","""Phillip Hawkins Motor Company""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmwqWnmPs3d7nZBplgEW","""Platinum Cars""",0,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9SibgVagrrrK6Xuy2YS9","""Poughkeepsie Nissan""",0,1,0,0,0,0,1,1,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA1aFmkxGU31Qjt1tqKq","""Powersports of Utica""",7,59,9,219,7,212,1279,350,929,5,2,3,"0.02","0.02",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oa4H83MS3OMuxvjUvZrI","""Premier Chrysler Dodge Jeep Ram""",11,163,19,753,11,742,2721,753,1968,15,15,0,"1.40","0.00",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CvwQfdQ7Ua0VNtTmaeCF","""Premier Mitsubishi""",1,0,0,0,0,0,0,0,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XDaT2BQSJew4UCZMcX9M","""Prescott Honda""",5,201,12,524,21,503,2147,676,1471,5,5,0,"0.06","0.00",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ponJsUVI3ZCtQ1Mf8xav","""Prescott Valley Kia""",1,112,3,310,1,309,963,288,675,3,3,0,"0.01","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XsF2uksbQ7wv6Qe3CoKJ","""Puente Hills Nissan""",0,0,0,0,0,0,11,11,0,0,0,0,"0.00","0.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HHdMr5af3zOWAB5uGtFX","""Quality Buick GMC""",4,204,13,1113,13,1100,4007,921,3086,25,21,4,"0.08","0.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
